/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.4 VALID_CPI:1.6 CYCLES:2287 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2227 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:2.6 VALID_CPI:1.7 CYCLES:2527 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:2.5 VALID_CPI:1.6 CYCLES:2407 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:2.5 VALID_CPI:1.6 CYCLES:2407 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:2.6 VALID_CPI:1.7 CYCLES:2539 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2239 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:4.1 VALID_CPI:4.6 CYCLES:41 ICOUNT:10 VALID_ICOUNT:9 IHITRATE: 78.6 DHITRATE: 128.6
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:7.1 VALID_CPI:5.5 CYCLES:50 ICOUNT:7 VALID_ICOUNT:9 IHITRATE: 76.5 DHITRATE: 225.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:3.8 VALID_CPI:4.2 CYCLES:34 ICOUNT:9 VALID_ICOUNT:8 IHITRATE: 76.9 DHITRATE: 0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.3 VALID_CPI:4.9 CYCLES:44 ICOUNT:7 VALID_ICOUNT:9 IHITRATE: 76.5 DHITRATE: 0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:4.6 VALID_CPI:4.6 CYCLES:41 ICOUNT:9 VALID_ICOUNT:9 IHITRATE: 78.6 DHITRATE: 128.6
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:8.3 VALID_CPI:5.5 CYCLES:50 ICOUNT:6 VALID_ICOUNT:9 IHITRATE: 76.5 DHITRATE: 225.0
